sentences,aos
if you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,"[([4], [], -1), ([22, 23], [], -1)]"
all of my co-workers stated that the food was amazing and wondered why they hadn't heard about this place.,"[([7], [], 1)]"
metrazur has a beautiful spot overlooking the main terminal.,"[([4], [], 1)]"
friendly staff that actually lets you enjoy your meal and the company you're with.,"[([1], [], 1), ([8], [], 1)]"
the restaurant is rather small but we were lucky to get a table quickly.,"[([12], [], 1)]"
"quality of food is excellent and price is cheap, stick to pork , fish , chicken , lamb and vegetables .","[([0, 1, 2], [], 1), ([6], [], 1), ([11], [], 1), ([13], [], 1), ([15], [], 1), ([17], [], 1), ([19], [], 1)]"
"the place is a little tight and on a cold day, the seating by the entranceway can be pretty drafty.","[([1], [], -1), ([12], [], -1)]"
the appetizing is excellent - just as good as zabars barney greengrass at a reasonable price (if bought by the pound).,"[([1], [], 1), ([15], [], 1)]"
"but, they were too big for the bun .","[([7], [], 0)]"
"the food is fresh, delicious, and reasonably priced .","[([1], [], 1), ([7], [], 1)]"
raga stands out with an interesting fusion of french and indian cooking .,"[([6, 7, 8, 9, 10, 11], [], 1)]"
"a few tips: skip the turnip cake , roast pork buns and egg custards .","[([5, 6], [], -1), ([8, 9, 10], [], -1), ([12, 13], [], -1)]"
the bagels are fabulous.,"[([1], [], 1)]"
"oh yes, and they lie on the phone, claiming they have seating in the garden , then of course the seats are not available.","[([11, 12, 13, 14], [], 0), ([20], [], 0)]"
although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,"[([8], [], 0), ([14], [], 1), ([22], [], 1)]"
"the food was very good, a great deal, and the place its self was great.","[([1], [], 1), ([10], [], 1)]"
the food options rule.,"[([1, 2], [], 1)]"
a great choice at any cost and a great deal.,"[([5], [], 1)]"
"we ate here in march, 2006 and ordered the pre-theatre 3-course dinner with wine flight .","[([9, 10, 11], [], 0), ([13, 14], [], 0)]"
"probably much busier for lunch , it's seldom crowded for dinner (too close to downtown).","[([4], [], 0), ([10], [], 0)]"
"their calzones are horrific, bad, vomit-inducing, yuck.","[([1], [], -1)]"
it takes forever to get a drink and they almost always forget to bring something (although they dont forget to charge you for it.,"[([6], [], 0)]"
the place itself is beautiful the bar scene seems to be happening.,"[([1], [], 1), ([6, 7], [], 1)]"
"saturday, nov. 6th i had a group from work come in with about 35 people and the staff was amazing to accomodate us.","[([17], [], 1)]"
"good spreads , great beverage selections and bagels really tasty.","[([1], [], 1), ([4, 5], [], 1), ([7], [], 1)]"
"first, the waiter who served us neglected to fill us in on the specials , which i would have chosen had i known about them.","[([2], [], -1), ([4], [], -1), ([13], [], 1)]"
"also, top the meal with a delicious and perfect slice of tiramisu .","[([3], [], 0), ([11], [], 1)]"
check out the secret back room .,"[([3, 4, 5], [], 1)]"
"it's also attached to angel's share, which is a cool, more romantic bar ...","[([12], [], 1)]"
"authentic food and they have real service , not just the rush you get sometimes when they try to push you out the door.","[([1], [], 1), ([6], [], 1)]"
stick to the gulab jamun .,"[([3, 4], [], 1)]"
"i am amazed by the poor reviews- i find this place to be standout italian in an area flooded with italian- great prices , great atmosphere , good service and a wonderful wine list .","[([22], [], 1), ([25], [], 1), ([28], [], 1), ([32, 33], [], 1)]"
i was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,"[([5], [], 0), ([8], [], -1), ([12, 13], [], -1)]"
with the theater 2 blocks away we had a delicious meal in a beautiful room .,"[([10], [], 1), ([14], [], 1)]"
"we've only eaten in the restaurant once, but we have ordered many times for dinner .","[([14], [], 0)]"
by far this is the only chinese desserts place i know in ny or anywhere close in the northeastern america that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar .,"[([22, 23, 24, 25], [], 1), ([32, 33, 34, 35, 36, 37, 38], [], 1)]"
the food is great and reasonably priced .,"[([1], [], 1), ([6], [], 1)]"
i would definitely recommend sea if you like thai cuisine !,"[([8, 9], [], 1)]"
"over the years the host , vittorio, and his crew , have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.","[([4], [], 1), ([9], [], 1)]"
"the restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic taiwanese .","[([11, 12], [], 1), ([25], [], 1)]"
"my husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.","[([9], [], 0), ([19, 20], [], 1)]"
"it is the type of place to run into old friends and have a late, raucus dinner .","[([16], [], 1)]"
"the food is delicious - from the specials to the regular menu-fare , the dishes are never a disappointment.","[([1], [], 1), ([7], [], 1), ([10, 11], [], 1), ([14], [], 1)]"
prices are in line.,"[([0], [], 0)]"
"the combination of fresh tomato sauce , fresh mozz cheese , basil and the dough they make with imported flour , makes this is one of the better pizza 's in ny.","[([3, 4, 5], [], 1), ([7, 8, 9], [], 1), ([11], [], 1), ([14], [], 1), ([19], [], 1), ([28], [], 1)]"
the food is prepared quickly and efficiently.,"[([1], [], 1)]"
"for all of you new to indian food , try the paneer roll , it is a piece of heaven.","[([6, 7], [], 1), ([11, 12], [], 1)]"
the food looked very appetizing and delicious since it came on a variety of fancy plates .,"[([1], [], 1), ([15], [], 1)]"
both the fresh mozzerella slices and the plain cheese slice are phenomenal.,"[([2, 3, 4], [], 1), ([7, 8, 9], [], 1)]"
"the food is terrible and overall, i would have to say avoid at all costs.","[([1], [], -1)]"
"unfortunately, the food was not something to get worked up about.","[([2], [], -1)]"
"it's constantly open, catering to the pakistani cabbies lined up on crosby st., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh).","[([19], [], 1)]"
i had filet mignon with garlic mash .,"[([2, 3, 4, 5, 6], [], 0)]"
"i went at 6:00 pm specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre , steak frites , creme brulee ) and it was marvelous.","[([8, 9], [], 1), ([12, 13, 14, 15, 16], [], 1), ([18, 19], [], 1), ([21, 22], [], 1)]"
"the waitstaff were attentive, polite and helpful - an impressive feat in such close quarters.","[([1], [], 1)]"
"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the peter's favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top , like a salad .","[([2], [], 1), ([16], [], 1), ([29, 30, 31, 32, 33, 34, 35, 36], [], 0), ([40, 41, 42, 43, 44, 45, 46, 47, 48, 49], [], 0), ([53], [], 0)]"
"yes, the prices are high, but i felt it was worth it.","[([2], [], 0)]"
"the large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating.","[([4], [], 1), ([6], [], 1), ([8], [], 1)]"
"have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners .","[([5], [], 1), ([25], [], 0)]"
"while this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely indian without being heavy or same old restaurant burn-outs.","[([7], [], 1), ([15], [], 0), ([22], [], 1), ([26], [], 1)]"
the owner truly caters to all your needs.,"[([1], [], 1)]"
he takes real pride in his food and his business.,"[([6], [], 1)]"
"so if you want a nice, enjoyable meal at montparnasse, go early for the pre-theater prix-fixe .","[([7], [], 1), ([14, 15], [], 1)]"
"over the years, it has always provided a pleasurable dining experience with quality food and wine .","[([9], [], 1), ([13], [], 1), ([15], [], 1)]"
"the photobook menu was a cute touch, certainly helped my group and i pick the fried chicken , pork chop , and noodle dishes that we all ordered.","[([2], [], 1), ([15, 16], [], 0), ([18, 19], [], 0), ([22, 23], [], 0)]"
i cannot imagine better indian food in all of the city.,"[([4, 5], [], 1)]"
great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,"[([2], [], 1), ([10, 11, 12], [], 1), ([16], [], 1)]"
i asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,"[([4, 5, 6, 7], [], 0), ([10], [], -1)]"
very good breads as well.,"[([2], [], 1)]"
"if this happens, just ask for real naan .","[([7], [], 0)]"
we were fans of the half-price saturday night option until some inedible squid during a recent visit.,"[([5, 6, 7, 8], [], 1), ([12], [], -1)]"
"pizza is terrific, as is homemade pasta .","[([0], [], 1), ([5, 6], [], 1)]"
this is a wonderful place on all stand points especially value ofr money .,"[([10, 11, 12], [], 1)]"
example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,"[([3], [], 1), ([14], [], 1)]"
"service is not exactly five star, but thats not really a big deal.","[([0], [], 0)]"
there are other people waiting !,"[([4], [], -1)]"
"from beginning appetizers , the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet , we were delighted by the taste sensations.","[([1, 2], [], 1), ([5], [], 1), ([11, 12, 13, 14, 15, 16], [], 1), ([23], [], 1)]"
consistently good japanese tapas .,"[([2, 3], [], 1)]"
"my goodness, everything from the fish to the rice to the seaweed was absolutely amazing.","[([5], [], 1), ([8], [], 1), ([11], [], 1)]"
"the dishes offered were unique, very tasty and fresh from the lamb sausages , sardines with biscuits , large whole shrimp to the amazing pistachio ice cream (the best and freshest i've ever had).","[([1], [], 1), ([11, 12], [], 1), ([14, 15, 16], [], 1), ([18, 19, 20], [], 1), ([24, 25, 26], [], 1)]"
the food is reliable and the price is moderate.,"[([1], [], 1), ([6], [], 0)]"
"while the ambiance and atmosphere were great, the food and service could have been a lot better.","[([2], [], 1), ([4], [], 1), ([8], [], -1), ([10], [], -1)]"
the server was really cool and served us our food and drinks with a smile.,"[([1], [], 1), ([6], [], 1), ([9], [], 0), ([11], [], 0)]"
we were in search of food and stumbled on this block of indian restaurants on east sixth street.,"[([5], [], 0)]"
"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too .","[([16], [], 1), ([23, 24], [], 1)]"
"very excited to hear that short-term chef jason narone has moved on, he truly was a low point of their sterling track record.","[([6], [], -1)]"
i had to share my table with a loud group of kids and the service was rude an unattentive.,"[([5], [], -1), ([14], [], -1)]"
the sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,"[([1, 2, 3, 4], [], 1), ([9], [], 1), ([11, 12], [], 1)]"
"we recently decided to try this location, and to our delight, they have outdoor seating , perfect since i had my yorkie with me.","[([13, 14], [], 1)]"
"my husband had the mesclun , salmon , and ice cream and he enjoyed all 3 courses .","[([4], [], 1), ([6], [], 1), ([9, 10], [], 1), ([16], [], 1)]"
we were told that the wait was about twenty minutes and there would be no problem for our 8:00 pm curtain call.,"[([5], [], 0)]"
the food is usually good but it certainly isn't a relaxing place to go.,"[([1], [], 1), ([11], [], -1)]"
"super friendly and knowledgable staff , fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!","[([4], [], 1), ([7, 8], [], 1), ([12, 13], [], 1), ([16, 17], [], 1), ([19], [], 1)]"
the prices were fantastic.,"[([1], [], 1)]"
"still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...","[([5], [], 0), ([11, 12, 13], [], 1)]"
"the table service could have been a little more attentive but as someone who also works in the service industry, i understood they were busy.","[([1, 2], [], 0), ([18], [], 0)]"
"it's not mind-blowing, but to me, thai food never is and never will be.","[([6, 7], [], 0)]"
"food was very good as well, considering that we tried the budget selection (though i wish the pork belly that i ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).","[([0], [], 1), ([17, 18], [], -1), ([29], [], -1)]"
"i've been to sapphire twice and both times the food was fine, if not good.","[([9], [], 1)]"
it is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner .,"[([6], [], -1), ([15], [], 1), ([20], [], 1)]"
i love the fact that the pizza tastes so good and is so cheap.,"[([6], [], 1)]"
nicky the nose at the bar is a treat.,"[([5], [], 0)]"
"service was prompt, friendly and great.","[([0], [], 1)]"
"i haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil .","[([4, 5], [], 1), ([10], [], 1), ([16], [], 1), ([18, 19, 20, 21], [], 1)]"
the sushi was awful!,"[([1], [], -1)]"
you can get an excellent meal at most of the many indian restaurants on nearby lexington avenue for the cost of one the dainty dishes here.,"[([5], [], 1), ([19], [], 0), ([24], [], 1)]"
"the pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.","[([1, 2], [], 1), ([8], [], 1), ([13], [], 1)]"
the plain pizza was soggy and the creative wild mushroom(third generation-fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,"[([1, 2], [], -1), ([8, 9, 10, 11], [], 1), ([17, 18], [], 0)]"
"late nite omelletes are not good here, there is no variety!","[([2], [], -1)]"
"after all that, they complained to me about the small tip .","[([10], [], -1)]"
it's a great place to pick up a cheap lunch or dinner .,"[([9], [], 1), ([11], [], 1)]"
"behind this counter , two men are squeezed in.","[([2], [], -1)]"
"whenever you need a sushi fix , mizu will be there with quality fish and great service .","[([4, 5], [], 1), ([13], [], 1), ([16], [], 1)]"
"our waitress was sweet and accomodating, not overbearing.","[([1], [], 1)]"
went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,"[([12], [], -1), ([25, 26], [], 0)]"
i was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.,"[([17], [], -1)]"
the website and rating makes this place look wonderful but in reality it was very disappointing.,"[([6], [], 0)]"
"despite a slightly limited menu , everything prepared is done to perfection, ultra fresh and a work of food art .","[([4], [], -1), ([18, 19], [], 1)]"
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,"[([1, 2], [], 1)]"
"a large is $20, and toppings are about $3 each.","[([5], [], 0)]"
brick oven gallery is my pick for best pizza restaurant anywhere.,"[([8], [], 1)]"
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"[([4], [], 1), ([7], [], 1), ([11], [], 1)]"
"for many people, this may not seem like aunthentic thai food because most places in nyc arent quite authentic.","[([9, 10], [], -1)]"
"growing up in ny, i have eaten my share of bagels .","[([10], [], 0)]"
"oh, don't even let me start with how expensive the bills were!","[([10], [], -1)]"
the scallion pancakes and fried dumplings were nothing out of the ordinary.,"[([1, 2], [], 0), ([4, 5], [], 0)]"
"all the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!","[([2], [], 1), ([4], [], 1), ([8], [], 1), ([14], [], 1)]"
"besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill .","[([3], [], -1), ([21], [], -1), ([22], [], -1), ([40], [], -1), ([43], [], -1), ([60], [], -1)]"
service is top notch.,"[([0], [], 1)]"
the food now is inconsistent.,"[([1], [], -1)]"
"you can also special order any kind of dumpling ,etc.","[([8], [], 1)]"
i was pretty much full after our fondue appetizer .,"[([7, 8], [], 0)]"
be careful before you request extra spice .,"[([6], [], 0)]"
the octopus eaters were floored by the octopus salad .,"[([7, 8], [], 1)]"
we thought that this place is using too much of msg cooking in the foods .,"[([10, 11], [], -1), ([14], [], -1)]"
and the tom kha soup was pathetic.,"[([2, 3, 4], [], -1)]"
i started out with a bombay beer which was big enough for two.,"[([5, 6], [], 1)]"
"the decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall , which are great for a date.","[([1], [], 1), ([8, 9], [], 1), ([16, 17], [], 1)]"
service was quick.,"[([0], [], 1)]"
drawbacks: service is slow and they don't toast!,"[([1], [], -1)]"
went there for an office lunch .,"[([4, 5], [], 0)]"
the sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,"[([1, 2], [], 1), ([8, 9], [], 1), ([12, 13], [], 1), ([16], [], -1)]"
"we've been following chef lyle's food around new york for 15 years and while remaining classic, his innovations with bistro fare have made us return and return.","[([3], [], 1), ([5], [], 1), ([19, 20], [], 1)]"
the best thing i tasted were the lambchops .,"[([7], [], 1)]"
the spicy tuna and salmon are the best we've ever had.,"[([1, 2], [], 1), ([4], [], 1)]"
"even though its good seafood , the prices are too high.","[([4], [], 1), ([7], [], -1)]"
"in addition, the food is very good and the prices are reasonable.","[([3], [], 1), ([9], [], 1)]"
"upon entering, we were greeted by the owners , steven and frederick, who went out of their way to be more than gracious hosts .","[([7], [], 1), ([23], [], 1)]"
been going here since it opened have seen the quality value decrease considerably.,"[([9, 10], [], -1)]"
"meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices .","[([0, 1], [], 0), ([13, 14], [], 1)]"
reasonable prices .,"[([1], [], 1)]"
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,"[([2], [], 1), ([9, 10], [], 1), ([13], [], 1), ([19], [], 1)]"
"try the crunchy tuna , it is to die for.","[([2, 3], [], 1)]"
it won't break the bank but i also wouldnt come back for the food .,"[([13], [], -1)]"
"all in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.","[([12], [], 1)]"
it is a lot of fun with live entertainment and all kinds of disney type special effects .,"[([7, 8], [], 1), ([15, 16], [], 1)]"
"if you're looking for perfect traditional sushi , go here - if you're looking for interesting combinations, try sushi of gari's (east side).","[([6], [], 1), ([18], [], 1)]"
"no refills on fountain drinks , though.","[([3, 4], [], -1)]"
wow over 100 beers to choose from.,"[([3], [], 1)]"
be careful of portions - they're huge.,"[([3], [], 1)]"
"the steak tartare is a great bet, they fix it for you at the table.","[([1, 2], [], 1)]"
my first time there i happened not to like the crab croquette apt that i ordered and they were happy to change it for me without making no big deal.,"[([10, 11, 12], [], -1)]"
great for large groups and celebrations - our super happy waiter was the entertainment of the evening.,"[([10], [], 1)]"
did i mention the wine ?,"[([4], [], 0)]"
"plus, on wednesday nights the house wine is unlimited!","[([5, 6], [], 1)]"
like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan.,"[([3], [], -1)]"
the dim sum servings here are a bit larger than i'm used to.,"[([1, 2, 3], [], 0)]"
"however, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.","[([9], [], 0), ([16], [], 1), ([22, 23], [], -1)]"
we won't go to this place again for a good meal .,"[([10], [], -1)]"
"barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.","[([0, 1], [], 1), ([13], [], 0), ([20], [], -1), ([23, 24], [], -1), ([29, 30], [], -1), ([33], [], -1)]"
"after dinner , take your date to the huge dance floor , probably one of the biggest you'll see in ny.","[([1], [], 0), ([9, 10], [], 1)]"
taj mahal offeres gret value and great food .,"[([4], [], 1), ([7], [], 1)]"
has the chef and owner changed???,"[([2], [], 0), ([4], [], 0)]"
my boyfriend and i recently had an early dinner at artisanal and was satisfied with our experience.,"[([8], [], 1)]"
"but don't ever order bacon late at nite (either platter or in sandwiches , for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos , hurt my molars.","[([4], [], -1), ([9], [], -1), ([11, 12], [], -1), ([29], [], -1), ([35], [], -1)]"
"outstanding bagels , but you get what you pay for.","[([1], [], 1)]"
"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best, freshly baked bread !","[([0], [], 1), ([4], [], 1), ([12], [], 0), ([15], [], 1), ([22], [], 1)]"
"i found it on a cold night, the perfect spot to warm up.","[([9], [], 1)]"
they even have a section in the menu called american chinese food !,"[([7], [], -1), ([9, 10, 11], [], -1)]"
"service was warm and attentive, beef carpaachio was exellent (huge portion ) and pasta was fresh and well-prepared.","[([0], [], 1), ([5, 6], [], 1), ([10], [], 1), ([13], [], 1)]"
kalbi and nebbiolo do work together.,"[([0], [], 0), ([2], [], 0)]"
"best italian food i ever had (and being italian, that means alot).","[([1, 2], [], 1)]"
i will recommend scopa to all of my friends for a place to go for wonderful italian food .,"[([16, 17], [], 1)]"
located at the end of a magnificent block.,"[([0], [], 1)]"
"looking around, i saw a room full of new yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.","[([5], [], 0), ([13], [], 1), ([20], [], -1)]"
they don't walk around with the trays of dim sum .,"[([6, 7, 8, 9], [], 0)]"
"great bar , most gorgeous bartenders you've ever seen (specifically the blond lady).","[([1], [], 1), ([5], [], 1)]"
we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,"[([5], [], 0), ([8], [], -1), ([12], [], 0)]"
i really loved the different and inovated touch that's the cheff gives to the food .,"[([10], [], 1), ([14], [], 1)]"
they came out over cooked and the cheese was almost non existant.,"[([7], [], -1)]"
"i had a terrific meal , and our server guided us toward a very nice wine in our price range , instead of allowing us to purchase a similarly priced wine that wasn't as good.","[([4], [], 1), ([8], [], 1), ([15], [], 1), ([18, 19], [], 1), ([29], [], 0), ([30], [], -1)]"
"the svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!","[([1], [], -1)]"
"the food is good, especially their more basic dishes , and the drinks are delicious.","[([1], [], 1), ([8], [], 1), ([12], [], 1)]"
but the main hit was the whole grilled fish .,"[([6, 7, 8], [], 1)]"
"i had the tuna tartare with sake , mushroom ravioli with pinot noir , and the chocolate sampler with a dessert wine for $49.","[([3, 4], [], 1), ([6], [], 1), ([8, 9], [], 1), ([11, 12], [], 1), ([16, 17], [], 1), ([20, 21], [], 1)]"
on a hot day it was fabulous to stop in and enjoy lunch .,"[([12], [], 1)]"
the food is delicious and beautifully prepared along with the friendly and personable service .,"[([1], [], 1), ([13], [], 1)]"
i usually go there later at night when i get off work so i don't have to deal with crowds or lines .,"[([19], [], -1), ([21], [], -1)]"
pizza here is consistently good.,"[([0], [], 1)]"
we had a great tiem watching the shows and characters and ar food was just what we were looking for.,"[([7], [], 1), ([9], [], 1), ([12], [], 1)]"
"after 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations .","[([5], [], -1), ([20], [], 0), ([25], [], -1), ([37], [], 1)]"
wouldn't recomend it for dinner !,"[([4], [], -1)]"
sauce was watery and the food didn't have much flavor .,"[([0], [], -1), ([5], [], -1), ([9], [], -1)]"
my husband and i enjoy sangria .,"[([5], [], 1)]"
"but after last night, spice grill is the only place i'm eating indian cuisine .","[([12, 13], [], 1)]"
we both opted for a pasta dish and they were served timely and fresh.,"[([5, 6], [], 1), ([10], [], 1)]"
"first the wrong bread came out with the appetizer , then when i tried to order a second glass of wine for my main course ...","[([3], [], -1), ([8], [], 0), ([18, 19, 20], [], 0), ([23, 24], [], 0)]"
"not sure where the previous reviewer, lonk, dined, but saul is in a great neighborhood and has great food !","[([14], [], 1), ([18], [], 1)]"
"in an area sadly lacking in decent thai food , this is one of the best spots.","[([7, 8], [], 1)]"
tell them herky sent you and get a free confused look from the waiter .,"[([13], [], -1)]"
make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to time square.,"[([1], [], -1), ([11, 12], [], -1), ([16], [], -1), ([22], [], 0)]"
the food was average or above including some surprising tasty dishes .,"[([1], [], 1), ([10], [], 1)]"
they don't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai .,"[([8], [], -1), ([11], [], -1), ([19], [], 0)]"
other apetizers and food,"[([1], [], 0), ([3], [], 0)]"
the noodle and rices dishes taste great.,"[([1, 2, 3, 4], [], 1)]"
the food 's as good as ever.,"[([1], [], 1)]"
"the crust is thin, the ingredients are fresh and the staff is friendly.","[([1], [], 1), ([5], [], 1), ([10], [], 1)]"
also a little more expensive than your average bagel place.,"[([8], [], 0)]"
"the food was undercooked-the sauce watery, and the vegetables raw.","[([1], [], -1), ([4], [], -1), ([8], [], -1)]"
and the fried clams had just enough kick to them to make 'em worth eating.,"[([2, 3], [], 1)]"
the sauces used are also not that exciting.,"[([1], [], -1)]"
the secret is the lunch menu which offers a complimentary appetizer with every entree ordered.,"[([4, 5], [], 1), ([10], [], 1), ([13], [], 1)]"
the rice was poor quality and was cooked so badly it was hard.,"[([1], [], -1), ([4], [], -1), ([7], [], -1)]"
we had champagne and caviar and felt like princesses!,"[([2], [], 1), ([4], [], 1)]"
the shrimp scampi was excellent and the antipasti were plentiful.,"[([1, 2], [], 1), ([7], [], 1)]"
"when my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.","[([2], [], 0), ([21], [], 1)]"
"i got the $10 10-piece dim sum combo , every bite of which was great.","[([5, 6, 7], [], 1)]"
there is also very limited seating and there can be a substantial wait in getting food at peak times.,"[([5], [], -1), ([12], [], -1), ([15], [], 0)]"
"if it's just a quick martini at the bar (which i recommend jeffery's) or a mind blowing roast chicken , go to village!","[([5], [], 0), ([8], [], 0), ([17, 18], [], 1)]"
"there was a long wait for a table outside, but it was a little too hot in the sun anyway so our insde table was very nice.","[([4], [], -1), ([7], [], 0), ([22, 23], [], 1)]"
the prices are wonderfully low.,"[([1], [], 1)]"
if you like spicy food get the chicken vindaloo .,"[([3, 4], [], 0), ([7, 8], [], 0)]"
i have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials .,"[([16, 17], [], 1)]"
"so much more than the usual bar food , go there to enjoy the menu while sampling one of their hand-crafted beers .","[([6, 7], [], 1), ([14], [], 1), ([20, 21], [], 1)]"
no free drink .,"[([2], [], 0)]"
this is my first time writing a review for a restaurant because the food and service was excellent.,"[([13], [], 1), ([15], [], 1)]"
"while they keep the capex to a minimum, they do put some cash into the bagels , because they among the best in the city.","[([4], [], 1), ([15], [], 0)]"
the two star chefs left quite some time ago to open their own place.,"[([3], [], 0)]"
don't waste money on decor .,"[([4], [], 0)]"
they also have a back garden open in the summer - cute and french with outdoor seating - what more could you ask for?,"[([4, 5], [], 1), ([15, 16], [], 1)]"
i have never before eaten 40 pieces of relatively good nigiri .,"[([10], [], 0)]"
"given the incredible architecture surrounding it, this place has no character.","[([3], [], 1), ([7], [], -1)]"
i'd call it an 'italian dinner '.,"[([5], [], 0)]"
"while the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck.","[([2], [], -1), ([9], [], 1)]"
have frequented 'ino for several years and the food remains excellent.,"[([8], [], 1)]"
"their eggplant is so delicate, sweet tender!","[([1], [], 1)]"
"each bite of food at kai was indeed delicious, fresh, and elegant.","[([3], [], 1)]"
all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.,"[([2], [], 1), ([8, 9, 10], [], 1), ([14], [], 0)]"
my friend got the mushroom pizza which tasted better.,"[([4, 5], [], 1)]"
"i had the cod with paella (spicy and very filling, i'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries ).","[([3, 4, 5], [], -1), ([25, 26, 27], [], -1), ([31], [], -1), ([38], [], 0), ([43], [], 0)]"
"it's a shame that a nice, convenient place like the pink pony can be so ruined by lousy service .","[([7], [], 1), ([18], [], -1)]"
you should pass on the calamari .,"[([5], [], -1)]"
"the porcini mushroom pasta special was tasteless, so was the seafood tagliatelle .","[([1, 2, 3, 4], [], -1), ([10, 11], [], -1)]"
try the spicy wontons and the salt pepper shrimps .,"[([2, 3], [], 1), ([6, 7, 8], [], 1)]"
the food portions are really large.,"[([1, 2], [], 1)]"
the fries are yummy.,"[([1], [], 1)]"
"friendly and informative staff , very attentive and prompt raw bar service .","[([3], [], 1), ([10, 11], [], 1)]"
best taiwanese food in ny!,"[([1, 2], [], 1)]"
this place is a great stop for great food .,"[([8], [], 1)]"
all the pastas are fantastic and the homemade lasagna is some of the best that i have had in the city.,"[([2], [], 1), ([7, 8], [], 1)]"
"we laughed when he finally offered us a dessert menu and we left a 10 percent tip , which was generous, i feel.","[([8, 9], [], 0), ([16], [], 1)]"
and the prices were way to high for what you get.,"[([2], [], -1)]"
the staff ignored my friends and i the entire time we were there.,"[([1], [], -1)]"
"yet paired with such rude service , would never recommend for anyone interested in carrying any kind of conversation while there.","[([5], [], -1)]"
