sentences,aos
ess-a-bagel (either by sty-town or midtown) is by far the best bagel in ny.,"[([11], [], 1)]"
"the bagels always warm, soft on the inside, crispy on the outside and enormous in size.","[([1], [], 1), ([1], [], 1)]"
they have a huge selection of different cream cheeses and all of their salads are great.,"[([13], [], 1), ([7, 8], [], 1)]"
the lox is always fresh too.,"[([1], [], 1)]"
not impressed with the food,"[([4], [], -1)]"
prices too high for this cramped and unappealing resturant,"[([8], [], -1), ([8], [], -1)]"
zero ambiance to boot.,"[([1], [], -1)]"
i thought this place was totally overrated.,"[([3], [], -1)]"
"the ambience was nice, but service wasn't so great.","[([1], [], 1), ([5], [], -1)]"
this is the best shabu-shabu restaurant in the try-state area.,"[([4, 5], [], 1)]"
i have lived in japan for 7 years and the taste of the food and the feel of the restaurant is like being back in japan.,"[([13], [], 1), ([16], [], 1)]"
thius is a must for anyone who loves shabu-shabu,"[([8], [], 1)]"
"the atmosphere is nothing special, but it feels like a sushi establishment in tokyo.","[([1], [], 1)]"
the owner and staff are all japanese as well and that adds to the entire ambiance,"[([1], [], 1), ([3], [], 1), ([15], [], 1)]"
"despite a slightly limited menu everything prepared is done to perfection, ultra fresh and a work of food art.","[([4], [], -1)]"
taxan delicious!,"[([0], [], 1)]"
the prices were cheap compared to the quality of service and food,"[([9], [], 1), ([11], [], 1)]"
the location and ambience is ok but the food is what makes up for it.,"[([1], [], 0), ([3], [], 0), ([8], [], 1)]"
try green curry with vegetables,"[([1, 2, 3, 4], [], 1)]"
"the quantity is also very good, you will come out satisfied.","[([1], [], 1)]"
"the service is ok, some of the people didn't get what they asked for.","[([1], [], 0)]"
i had the best ravioli ever.,"[([4], [], 1)]"
the wine the service was very good too.,"[([1], [], 1), ([3], [], 1)]"
this quaint and romantic trattoria is at the top of my manhattan restaurant list.,"[([4], [], 1), ([4], [], 1)]"
the food is delicious - from the specials to the regular menu-fare the dishes are never a disappointment.,"[([1], [], 1), ([13], [], 1), ([7], [], 1), ([10, 11], [], 1)]"
whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar you will surely be transported to northern italy with one bite.,"[([3, 4, 5], [], 1), ([8, 9, 10, 11, 12], [], 1)]"
"although the tables may be closely situated, the candle-light f food uality and service overcompensate.","[([8], [], 1), ([10], [], 1), ([13], [], 1), ([2], [], -1)]"
"i have known about this secret for the last 13 years, emilio(the godfather) has continued to serve food and wine for the gods at mortal prices.","[([17], [], 1), ([19], [], 1), ([17], [], 1), ([19], [], 1)]"
"if you go, try the marinara/arrabiatta sauce the m mozzarella en carozza s mmmmmmmm..... everything is just delicious.","[([5, 6], [], 1), ([9, 10, 11], [], 1)]"
check out the secret back room,"[([4, 5], [], 1)]"
thank you emilio,"[([2], [], 1)]"
i found the food s service nd value exceptional everytime i have been there.,"[([3], [], 1), ([5], [], 1)]"
the food was authentic.,"[([1], [], 1)]"
the service was excellent - friendly and attentive.,"[([1], [], 1)]"
very good wine choices,"[([2, 3], [], 1)]"
who has room for cheesesticks with the best pizza in nyc!,"[([8], [], 1)]"
get the pepperoni - yum - and a family style salad,"[([2], [], 1), ([8, 9, 10], [], 1)]"
great staff,"[([1], [], 1)]"
always great service,"[([2], [], 1)]"
"the food is good, i can't lie.","[([1], [], 1)]"
but the staff was so horrible to us.,"[([2], [], -1)]"
the hostess and the waitress were incredibly rude and did everything they could to rush us out.,"[([1], [], -1), ([4], [], -1)]"
we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,"[([8], [], -1)]"
"this place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.","[([1], [], -1), ([7], [], 1), ([13], [], -1)]"
amma is nothing special.,"[([0], [], 0)]"
i ate here a week ago and found most dishes average at best and too expensive.,"[([9], [], -1), ([9], [], -1)]"
don't dine at tamarind for the vegetarian dishes they are simply not up to par with the n non-veg selections,"[([6, 7], [], -1), ([18, 19], [], 1)]"
decor is nice though service can be spotty.,"[([0], [], 1), ([4], [], -1)]"
this place is always packed.,"[([1], [], 0)]"
"most importantly, food is excellent.","[([2], [], 1)]"
try the sea bass,"[([2, 3], [], 1)]"
first of all dal bukhara rocks.,"[([3, 4], [], 1)]"
i am happy i did the food was awsome.,"[([6], [], 1)]"
and yes dal bukhara is so dam good and so are all the kababs,"[([13], [], 1), ([2, 3], [], 1)]"
haru on park s is simply disgusting.,"[([0, 1, 2, 3], [], -1)]"
the fish was not fresh and the rice tasted old and stale.,"[([1], [], -1), ([7], [], -1)]"
"quite frankly, this is some of the worst sushi i have ever tried.","[([8], [], -1)]"
honestly the worst sushi my husband and i had in our entire lives.,"[([3], [], -1)]"
not sure why this restaurant would be rated that highly.,"[([4], [], -1)]"
the all-u-can-eat sushi is definitely in very poor quality.,"[([1, 2], [], -1)]"
limited menu no-so-fresh i ingredients thinly-sliced fish fall-apart r rice,"[([1], [], -1), ([4], [], -1), ([6], [], -1), ([9], [], -1)]"
"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice and the scallion on top of the fish.","[([11, 12], [], -1), ([19], [], -1)]"
the waitstaffs are nice though.,"[([1], [], 1)]"
i have been to roth's twice and both times were very disappointing.,"[([4], [], -1)]"
both times i was extremely dissappointed by the service which was boarderline rude.,"[([8], [], -1)]"
"the dinner was ok, nothing i would have again.","[([1], [], -1)]"
"i had their eggs benedict for brunch, which were the worst in my entire life, i tried removing the hollondaise sauce completely that was how failed it was.","[([3, 4], [], -1)]"
with the theater 2 blocks away we had a delicious meal in a beautiful room,"[([10], [], 1), ([14], [], 1)]"
the service was attentive.,"[([1], [], 1)]"
planet thai is great!,"[([0, 1], [], 1)]"
we love the food d drinks and atmosphere,"[([3], [], 1), ([5], [], 1), ([7], [], 1)]"
"the svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!","[([1], [], -1), ([18], [], 1)]"
try the pad thai it's fabulous and their prices are so cheap!,"[([2, 3], [], 1)]"
"just because it's cheap does not mean the portions are small or the food is nasty, it is great!","[([8], [], 1), ([13], [], 1)]"
"also, the sandwiches (nearing $7) didn't come with anything like chips or a side.","[([2], [], -1), ([2], [], -1)]"
"eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.","[([3], [], 1)]"
chennai garden is my favorite indian restaurant in the city.,"[([0, 1], [], 1)]"
they have authentic indian at amazin prices.,"[([3], [], 1), ([3], [], 1)]"
this restaurant is vegetarian; there are no meat dishes whatsoever.,"[([7, 8], [], -1)]"
the seats are uncomfortable if you are sitting against the wall on wooden benches.,"[([1], [], -1)]"
it's a rather cramped and busy restaurant and it closes early.,"[([6], [], -1), ([6], [], -1)]"
patroon features a nice cigar bar and has great staff,"[([4, 5], [], 1), ([9], [], 1)]"
the food is tasty and portion sizes are appropriate.,"[([1], [], 1), ([5, 6], [], 1)]"
this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,"[([4], [], 1)]"
not a great place for family or general dining.,"[([3], [], -1)]"
lloovve this place,"[([2], [], 1)]"
food is excellent.,"[([0], [], 1)]"
fish is so very fresh.,"[([0], [], 1)]"
waitstaff are very friendly.,"[([0], [], 1)]"
love yuka,"[([1], [], 1)]"
mermaid inn is an overall good restaurant with really good seafood,"[([10], [], 1), ([0, 1], [], 1)]"
the menu is limited but almost all of the dishes are excellent.,"[([1], [], -1), ([9], [], 1)]"
the lobster sandwich is good and the spaghetti with scallops and shrimp is great.,"[([1, 2], [], 1), ([7, 8, 9, 10, 11], [], 1)]"
the service is good and ambience is good for a date or group outing.,"[([1], [], 1), ([5], [], 1)]"
the only fallback on this restaurant is the prices.,"[([5], [], -1)]"
even though its good seafood the prices are too high.,"[([4], [], 1)]"
the lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,"[([1, 2], [], 1), ([1, 2], [], -1)]"
the food was delicious (i had a halibut special my husband had s steak and the s service as top-notch.,"[([1], [], 1), ([7, 8], [], 1), ([13], [], 1), ([17], [], 1)]"
"when my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.","[([21], [], 1)]"
truly the mark of an attentive waiter,"[([6], [], 1)]"
i highly recommend the restaurant based on our experience last night.,"[([4], [], 1)]"
we ate at this thai place following the reviews but very unhappy with the foods,"[([14], [], -1)]"
we thought that this place is using too much of msg cooking in the foods,"[([14], [], -1)]"
i recommend the jelly fish d drunken chicken nd the soupy dumplings certainly the s stir fry blue crab,"[([3, 4], [], 1), ([6, 7], [], 1), ([10, 11], [], 1), ([15, 16, 17, 18], [], 1)]"
the food is so cheap and the waiters are nice.,"[([1], [], 1), ([7], [], 1)]"
have frequented 'ino for several years and the food remains excellent.,"[([8], [], 1)]"
cheese plate is a varied delight and great bargain at $10.,"[([0, 1], [], 1), ([0, 1], [], 1), ([0, 1], [], 1)]"
the large selection of bruschettas p paninis tramezzinis keep the palate from stagnating.,"[([4], [], 1), ([6], [], 1), ([7], [], 1)]"
"(the asparagus, truffle oil, parmesan bruschetta is a winner!)","[([1, 2, 3, 4, 5], [], 1)]"
wine list is extensive without being over-priced.,"[([0, 1], [], 1), ([0, 1], [], 1)]"
"be sure to try the seasonal, and always delicious, specials","[([9], [], 1)]"
i loved this place !,"[([3], [], 1)]"
i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded.,"[([9], [], 1)]"
"the food was very good, a great deal, and the place its self was great.","[([1], [], 1), ([1], [], 1), ([10], [], 1)]"
"the wait staff is very freindly, they make it feel like you're eating in a freindly little european town.","[([1, 2], [], 1)]"
"i like cafe noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!","[([13], [], -1), ([2, 3], [], 1)]"
"the service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.","[([1], [], -1)]"
the waitress seems to be more concerned of looking good than actually waitressing.,"[([1], [], -1)]"
"after dinner the manager grabbed my boyfriend, asked him: where are you from...maybe you dont know how things work in america...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.","[([3], [], -1)]"
"we did tip, i guess the model/ waitress just wanted more and complained to the manager.","[([7], [], -1)]"
the whole set up is truly unprofessional and i wish cafe noir would get some good staff because despite the current one this is a great place.,"[([16], [], -1), ([10, 11], [], 1)]"
pizza here is consistently good.,"[([0], [], 1)]"
salads are a delicious way to begin the meal.,"[([0], [], 1)]"
you should pass on the calamari,"[([5], [], -1)]"
decor is charming.,"[([0], [], 1)]"
service is average.,"[([0], [], 0)]"
what a great place,"[([3], [], 1)]"
"the ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.","[([1], [], 1), ([17], [], 1)]"
i would definitely recommend sea if you like thai cuisine,"[([8, 9], [], 1)]"
i was here a few weeks back and we had the worst customer service experience at a restaurant ever.,"[([12, 13], [], -1)]"
"a gentleman maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.","[([1], [], -1)]"
i absolutely loved this place,"[([4], [], 1)]"
excellent atmosphere delicious d dishes ood and friendly service,"[([1], [], 1), ([4], [], 1), ([8], [], 1)]"
the wine list is also really nice.,"[([1, 2], [], 1)]"
everything was wonderful; food d drinks staff m mileau,"[([3], [], 1), ([5], [], 1), ([6], [], 1), ([8], [], 1)]"
i would highly recommend this place,"[([5], [], 1)]"
i have been to casimir over 5 times and i have always had a great time there.,"[([4], [], 1)]"
the food is great and reasonably priced.,"[([1], [], 1), ([1], [], 1)]"
"i have tried to make reservations, but both times, the hostess didn't have my name.","[([10], [], -1)]"
"if the weather is nice, try to snag an outside table","[([9, 10], [], 1)]"
"the staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.","[([1], [], 1), ([12, 13], [], -1)]"
from the spectacular caviar to the hospitable waitstaff i felt like royalty and enjoyed every second of it.,"[([3], [], 1), ([7], [], 1)]"
"considering we were the last patrons there and it was after the closing time, the waitstaff did not rush us at all and made us feel comfortable and relaxed.","[([15], [], 1)]"
i highly recommend caviar russe to anyone who wants delicious top grade caviar and fantastic service,"[([12], [], 1), ([15], [], 1)]"
nice family owned traditional restaurant,"[([4], [], 1)]"
fresh ingredients and everything is made to order.,"[([1], [], 1)]"
friendly staff that actually lets you enjoy your meal and the company you're with.,"[([1], [], 1)]"
"i found the food to be outstanding, particulary the salmon dish i had.","[([3], [], 1), ([9, 10], [], 1)]"
i also ordered the change mojito which was out of this world.,"[([4, 5], [], 1)]"
"my friends settled for rice dishes, but we came back the following day to try the dim sum which was good...not outstanding, but good.","[([16, 17], [], 0)]"
we ate out in the back patio which is worth it as it's cool and the m music s hear well there.,"[([5, 6], [], 1), ([17], [], 1)]"
"overall, excellent restaurant","[([2], [], 1)]"
the food was good.,"[([1], [], 1)]"
the place was nice and calm.,"[([1], [], 1)]"
but the service was a bit slow.,"[([2], [], -1)]"
the buffet had a nice selection.,"[([1], [], 1)]"
the food was average or above including some surprising tasty dishes,"[([1], [], 1), ([10], [], 1)]"
service was also very good.,"[([0], [], 1)]"
i got an excellent piece of cheesecake and we had several other nice pastries,"[([6], [], 1), ([13], [], 1)]"
"i would recommend roxy's for that, but not for their food","[([10], [], -1)]"
my son and his girlfriend both wanted cheeseburgers and they were huge!,"[([7], [], 0)]"
"consequently, their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them.","[([2], [], -1)]"
i had a huge pastrami sandwich on a roll,"[([4, 5, 6, 7, 8], [], 0)]"
"this place is really trendi but they have forgotten about the most important part of a restaurant, the f food","[([19], [], -1), ([1], [], 1)]"
"the last two times i ordered from here my food was soo spicy that i could barely eat it, and the s spice ook away from the flavor of the dish.","[([9], [], -1), ([22], [], -1)]"
and the tom kha soup was pathetic.,"[([2, 3, 4], [], -1)]"
if you want good authentic thai this place is not the place to go.,"[([5], [], -1)]"
"we went here for lunch a couple of weeks ago on a saturday, and i was thoroughly impressed with the food","[([20], [], 1)]"
"the pesto pizza was excellent, thin-crust pizza with a nice amount of spicy italian cheese that i'd never heard of before.","[([1, 2], [], 1), ([12, 13, 14], [], 1)]"
"the back garden sitting area is very pleasant, where you can see their personal herb garden.","[([1, 2, 3, 4], [], 1)]"
we had the lobster sandwich and it was fantastic.,"[([3, 4], [], 1)]"
"my husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.","[([9], [], 1), ([19, 20], [], 1)]"
we had the scallops as an appetizer and they were delicious and the sauce was wonderful.,"[([3], [], 1), ([13], [], 1)]"
we waited at the bar and had martinis that were just right.,"[([7], [], 1)]"
love the food,"[([2], [], 1)]"
it's the only place you can get yummy authentic japanese comfort food,"[([9, 10, 11], [], 1)]"
i've lived in ny for 5 years and this place has it all.,"[([9], [], 1)]"
great food good size m menu great service and an unpretensious setting,"[([1], [], 1), ([5], [], 1), ([7], [], 1), ([11], [], 1)]"
"the dishes offered were unique, very tasty and fresh from the lamb sausages s sardines with biscuits large whole shrimp to the amazing pistachio ice cream (the best and freshest i've ever had).","[([1], [], 1), ([11, 12], [], 1), ([14, 15, 16], [], 1), ([17, 18, 19], [], 1), ([23, 24, 25], [], 1)]"
i'm glad i was introduced to this place and this is a rare gem in ny.,"[([7], [], 1)]"
"the freshest, best variety, and the fastest delivery","[([7], [], 1)]"
the service was excellent and the food was delicious.,"[([1], [], 1), ([6], [], 1)]"
we are very particular about sushi and were both please with every choice which included: ceviche mix (special) c crab dumplings assorted sashimi s sushi nd rolls t two types of sake and the banana tempura,"[([5], [], 1), ([15, 16, 17], [], 1), ([19, 20], [], 1), ([21, 22], [], 1), ([24], [], 1), ([26], [], 1), ([28, 29, 30, 31], [], 1), ([34, 35], [], 1)]"
definitely a great spot for a nice occasion or date.,"[([3], [], 1)]"
average to good thai food but terrible d delivery,"[([3, 4], [], 1), ([8], [], -1)]"
a thai restaurant out of rice during dinner?,"[([1, 2], [], -1)]"
"the food arrived 20 minutes after i called, cold and soggy.","[([1], [], -1)]"
this is a wonderful place on all stand points especially value ofr money.,"[([4], [], 1), ([4], [], 1)]"
an excellent service,"[([2], [], 1)]"
we were greeted promptly by the waiter who was very nice and cordial.,"[([6], [], 1)]"
she was very helpful in suggesting us drinks and helped us in ordering a lot of good dishes since we knew nothing about indian food.,"[([17], [], 1)]"
the food looked very appetizing and delicious since it came on a variety of fancy plates.,"[([1], [], 1)]"
we ended our great experience by having gulab jamun (dessert) recommended by the waiter.,"[([7, 8, 9], [], 1)]"
i thanked my friend who recommended me this restaurant and will certainly recommend it to others.,"[([8], [], 1)]"
"service here was great, food was fantastic.","[([0], [], 1), ([4], [], 1)]"
"guacamole+shrimp appetizer was really great, we both had the filet , very good, didn't much like th frites s that came with, but the filet was so good, neither of us cared.","[([0, 1], [], 1), ([9], [], 1), ([17], [], -1)]"
you cannot go wrong with this place,"[([6], [], 1)]"
"the food is outstanding and the service is quick, friendly and very professional.","[([1], [], 1), ([6], [], 1)]"
always a nice crowd but never loud.,"[([3], [], 1)]"
i am reluctant to write because i would not want my jem of a pizza place to become overcrowded.,"[([14, 15], [], 1)]"
"by far, the best pizza in manhattan.","[([4], [], 1)]"
"the crust is thin, the ingredients are fresh and the staff is friendly.","[([1], [], 1), ([10], [], 1), ([5], [], 1)]"
the menu has so many fish items and oysters.,"[([1], [], 1)]"
"the fish was really,really fresh.","[([1], [], 1)]"
we all agreed that mare is one of the best seafood restaurants in new york.,"[([4], [], 1)]"
i stumbled upon this great pizzeria as i explored my new neighborhood.,"[([5], [], 1)]"
all of the pizzas are terrific and the price is even better!,"[([3], [], 1)]"
i highly recommend the sophia pizza,"[([4, 5], [], 1)]"
the food was mediocre at best but it was the horrible service that made me vow never to go back.,"[([1], [], -1), ([11], [], -1)]"
"immediately after we paid, the waiter took the money and said, okay, you guys are outta here.","[([5], [], -1)]"
for the people who want great food plus great service roxy is a place to avoid!,"[([6], [], -1), ([9], [], -1)]"
"the first time the sushi was outstanding, the second time it was a little bland.","[([4], [], 1), ([4], [], -1)]"
"the blond wood decor is very soothing, the premium sake is excellent and the service is great.","[([1, 2, 3], [], 1), ([8, 9], [], 1), ([14], [], 1)]"
mizu is the japenese find in grammercy.,"[([0], [], 1)]"
"while their kitchen food is delicious, their sushi is out of this world.","[([2, 3], [], 1), ([7], [], 1)]"
mizu is home to creative and unique rolls not to found anywhere else.,"[([7], [], 1)]"
"not only is the cuisine the best around, the service has always been attentive and charming.","[([4], [], 1), ([9], [], 1)]"
warning: you may find it difficult to dine at other japanese restaurants after a visit to mizu,"[([16], [], 1)]"
"thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.","[([7], [], 1), ([12], [], -1), ([0], [], 1)]"
i ordered the smoked salmon and roe appetizer and it was off flavor.,"[([3, 4, 5, 6, 7], [], -1)]"
"the entree was bland and small, dessert was not inspired.","[([1], [], -1), ([1], [], -1), ([6], [], -1)]"
i expected quite a bit more from such an expensive menu,"[([10], [], -1), ([10], [], -1)]"
"the view is spectacular, and the food is great.","[([1], [], 1), ([6], [], 1)]"
wonderful strawberry daiquiries as well!,"[([1, 2], [], 1)]"
authentic taiwanese food that's cheap... what more could you ask for?,"[([1, 2], [], 1), ([1, 2], [], 1)]"
the cold appetizer dishes taste like the way i remember them to taste when i was growing up in taiwan.,"[([1, 2, 3], [], 1)]"
delicious simple food in nice outdoor atmosphere,"[([2], [], 1), ([2], [], 1), ([5, 6], [], 1)]"
"kind, attentive wait staff","[([2, 3], [], 1)]"
i really like both the scallops and the mahi mahi (on saffron risotto yum!).,"[([5], [], 1), ([8, 9, 10, 11, 12], [], 1)]"
my friend devoured her chicken and mashed potatos,"[([4, 5, 6, 7], [], 1)]"
delicious crab cakes too.,"[([1, 2], [], 1)]"
"even if the food wasn't this good, the garden is a great place to sit outside and relax.","[([8], [], 1), ([3], [], 1)]"
great neighborhood joint,"[([2], [], 1)]"
this is a nice pizza place with good selection of thin crust pizza including the basil slice,"[([8, 9, 10, 11, 12], [], 1), ([8, 9, 10, 11, 12], [], 1), ([4, 5], [], 1), ([15, 16], [], 1)]"
"their calzones are horrific, bad, vomit-inducing, yuck.","[([1], [], -1)]"
the counter service is bad.,"[([1, 2], [], -1)]"
no pizza 33 for me!,"[([1, 2], [], -1)]"
"the dosas are skimpy, unattractive and drip with grease, and personally i'd drink popcorn topping before i'd eat another one of these.","[([1], [], -1), ([1], [], -1)]"
"the sandwiches are dry, tasteless and way overpriced.","[([1], [], -1), ([1], [], -1)]"
"calling the place hampton chutney co. does warn you that these folks offer more style than substance, but in this unattractive room with unhelpful clerks there was a dearth of the former too.","[([2], [], -1), ([21], [], -1), ([24], [], -1)]"
"seriously, this place kicks ass.","[([2], [], 1)]"
"the atmosphere is unheralded, the service impecible, and the food magnificant.","[([1], [], 1), ([5], [], 1), ([9], [], 1)]"
"best italian food i ever had (and being italian, that means alot).","[([1, 2], [], 1)]"
"this is such a lovely, peaceful place to eat outside.","[([6], [], 1)]"
the restaurant looks out over beautiful green lawns to the hudson river and the statue of liberty.,"[([1], [], 1)]"
"the food is good, especially their more basic dishes and the d drinks re delicious.","[([1], [], 1), ([7, 8], [], 1), ([12], [], 1)]"
"this is a great place to take out-of-towners, and perfect for watching the sunset.","[([4], [], 1)]"
great sushi experience.,"[([1], [], 1)]"
unique apppetizers,"[([1], [], 1)]"
try sushimi cucumber roll,"[([1, 2, 3], [], 1)]"
good spreads great b beverage selections nd bagels really tasty.,"[([1], [], 1), ([4, 5], [], 1), ([7], [], 1)]"
but who says murray's is anything about service,"[([7], [], -1)]"
the service is awful.,"[([1], [], -1)]"
this place is not worth the prices.,"[([1], [], -1), ([1], [], -1)]"
love pizza 33 .,"[([1, 2], [], 1)]"
i will be out with friends and all of a sudden i am hungry and i only crave one thing... their pizza,"[([21], [], 1)]"
this tiny williamsburg spot is always pleasantly surprising.,"[([2, 3], [], 1)]"
the pizza is delicious and the proprietor is one of the nicest in nyc.,"[([1], [], 1), ([6], [], 1)]"
the cream cheeses are out of this world and i love that coffee !,"[([1, 2], [], 1), ([12], [], 1)]"
"bagels are ok, but be sure not to make any special requests!","[([0], [], 0)]"
i asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,"[([10], [], -1)]"
be sure not to get anything other than bagels ..,"[([8], [], 1)]"
the turkey burgers are scary!,"[([1, 2], [], -1)]"
the soup for the udon was soy sauce and water.,"[([1, 2, 3, 4], [], -1)]"
the sushi was awful!,"[([1], [], -1)]"
the rice was poor quality and was cooked so badly it was hard.,"[([1], [], -1)]"
"furthermore, the rice had no seasoning, so the sushi was bland and disgusting.","[([2], [], -1), ([8], [], -1)]"
"the fish was adequate, but inexpertly sliced.","[([1], [], -1)]"
it is obvious that no one in the restaurant has any idea about or experience with japanese cuisine,"[([16, 17], [], -1)]"
"good, fast service","[([2], [], 1)]"
food is great and inexpensive.,"[([0], [], 1), ([0], [], 1)]"
the location is perfect.,"[([1], [], 1)]"
"well, this place is so ghetto its not even funny.","[([2], [], -1)]"
if you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,"[([22], [], -1), ([4], [], -1)]"
awsome pizza especially the margheritta slice,"[([1], [], 1), ([4, 5], [], 1)]"
great atmoshere and worth every bit.,"[([1], [], 1)]"
winnie and her staff are the best crew you can find serving you.,"[([3], [], 1), ([0], [], 1)]"
the food is reliable and the price is moderate.,"[([1], [], 1)]"
for authentic thai food look no further than toons.,"[([2, 3], [], 1)]"
try the pad thai or sample anything on the a appetizer menu .they're all delicious.,"[([2, 3], [], 1), ([10, 11], [], 1)]"
everything about this restaurant was special.,"[([3], [], 1)]"
"the service was attentive, yet discreet.","[([1], [], 1)]"
the brioche and lollies as party favors is a cute and sweet touch to a most memorable meal.,"[([1, 2, 3], [], 1)]"
the place was quiet and delightful.,"[([1], [], 1)]"
service was good and food is wonderful.,"[([0], [], 1), ([4], [], 1)]"
i did not try the caviar but i tried their salmon and crab salad (they are all good),"[([10], [], 1), ([12, 13], [], 1)]"
it is definitely a good spot for snacks and chat.,"[([5], [], 1)]"
"as a retired hipster, i can say with some degree of certainty that for the last year lucky strike has been the best laid-back late night in the city.","[([17, 18], [], 1)]"
"the wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that-b@#$* way).","[([1, 2], [], 1)]"
"the food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries","[([1], [], 1), ([7, 8, 9, 10, 11], [], 1), ([16], [], 1)]"
but the best part about ls is the late night atmosphere delightfully free of the bts.,"[([8, 9, 10], [], 1)]"
you can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (i recommend the vanilla shanty mmmm!) in a great homey s setting ith great music,"[([6], [], 1), ([6], [], 1), ([6], [], 1), ([20, 21], [], 1), ([28], [], 1), ([31], [], 1)]"
"the in-house lady dj on saturday nights has outrageously good taste in music, and moreover, takes requests.","[([1, 2, 3], [], 1)]"
you can't go wrong with this place,"[([6], [], 1)]"
suan is a great place that i often take my friends (classmates) too.,"[([0], [], 1)]"
"its location is good and the fact that hutner college is near and their prices are very reasonable, makes students go back to suan again and again.","[([1], [], 1), ([23], [], 1)]"
i love their thai,"[([3], [], 1)]"
noodles with shrimp and chicken and coconut juice is the must!,"[([0, 1, 2, 3, 4, 5, 6, 7], [], 1)]"
i will go back to suan soon!,"[([5], [], 1)]"
in summer-eat outside on a terrace (another great feature of suan)!!!,"[([5], [], 1)]"
i cannot imagine a friendlier staff working in a restaurant.,"[([5], [], 1)]"
i cannot imagine better indian food in all of the city.,"[([4, 5], [], 1)]"
"during the course of the past 3 months, the chef and staff changed and it was not for the better.","[([9], [], -1), ([11], [], -1)]"
the food now is inconsistent.,"[([1], [], -1)]"
this is the kind of place you'd like to take all your friends to and still keep a secret.,"[([5], [], 1)]"
the setting is casual and romantic.,"[([1], [], 1)]"
the food is excellent!,"[([1], [], 1)]"
"if you're daring, try the balsamic vinegar over icecream it's wonderful!","[([5, 6, 7, 8], [], 1)]"
do not get the go go hamburgers no matter what the reviews say.,"[([4, 5, 6], [], -1)]"
"the rest of the dim sum though pricey by chinatown standards, is worth it.","[([4, 5], [], -1), ([4, 5], [], 1)]"
"the wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for chinatown) alternative.","[([1], [], -1), ([22], [], -1)]"
a few tips: skip the turnip cake r roast pork buns nd egg custards,"[([5, 6], [], -1), ([8, 9, 10], [], -1), ([12, 13], [], -1)]"
the food was exceptional.,"[([1], [], 1)]"
"i choose to go with one of the special, the braised lamb shank in red wine which was excellent.","[([10, 11, 12, 13, 14, 15], [], 1)]"
the service was friendly and the atmosphere was casual.,"[([1], [], 1), ([6], [], 0)]"
the restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,"[([22], [], 1), ([1], [], -1)]"
this little place has a cute interior decor and affordable city prices.,"[([6, 7], [], 1), ([2], [], 1)]"
"the pad se ew chicken was delicious, however the pad thai was far too oily.","[([1, 2, 3, 4], [], 1), ([9, 10], [], -1)]"
"have eaten at ginger house several times, and it's always good.","[([3, 4], [], 1)]"
the fried dumplings are great!,"[([1, 2], [], 1)]"
finally a reliable chinese restaurant,"[([3, 4], [], 1)]"
this place would be so much better served by being run by a group that actually understands customer service,"[([17, 18], [], -1)]"
"terrible, terrible management - deserves to be shut-down.","[([2], [], -1)]"
delicious bagels especially when right out of the oven.,"[([1], [], 1)]"
spreads and toppings are great - though a bit pricey.,"[([0], [], 1), ([2], [], 1), ([0], [], -1), ([2], [], -1)]"
service is fast and friendly.,"[([0], [], 1)]"
"the food is decent at best, and the ambience well, it's a matter of opinion, some may consider it to be a sweet thing, i thought it was just annoying.","[([1], [], -1), ([8], [], -1)]"
"rao is a good restaurant, but it's nothing special.","[([0], [], 0)]"
"but after last night, spice grill is the only place i'm eating indian cuisine","[([12, 13], [], 1)]"
you must try the shrimp appetizers,"[([4, 5], [], 1)]"
